IconKeyValue,Categories
account,user
activate-breakpoints,debug
add,action
archive,file
arrow-both,navigation
arrow-circle-down,navigation
arrow-circle-left,navigation
arrow-circle-right,navigation
arrow-circle-up,navigation
arrow-down,navigation
arrow-left,navigation
arrow-right,navigation
arrow-up,navigation
beaker,tool
bell,notification
bell-dot,notification
bold,text
book,content
bookmark,action
briefcase,general
broadcast,communication
browser,application
bug,debug
calendar,general
call-incoming,communication
call-outgoing,communication
case-sensitive,search
check,status
check-all,action
checklist,content
chevron-down,navigation
chevron-left,navigation
chevron-right,navigation
chevron-up,navigation
chrome-close,window
chrome-maximize,window
chrome-minimize,window
chrome-restore,window
circle-filled,shape
circle-large-filled,shape
circle-large,shape
circle-slash,status
circuit-board,tool
clear-all,action
clippy,action
close,action
close-all,action
cloud,storage
cloud-download,action
cloud-upload,action
code,development
coffee,general
collapse-all,action
color-mode,settings
comment,communication
comment-discussion,communication
copilot,ai
copy,action
credit-card,general
dash,general
dashboard,application
database,storage
debug,debug
debug-alt,debug
debug-console,debug
device-camera,device
device-camera-video,device
device-mobile,device
diff,git
diff-added,git
diff-ignored,git
diff-modified,git
diff-removed,git
diff-renamed,git
edit,action
error,status
extensions,application
eye,action
eye-closed,action
file,file
file-code,file
files,file
filter,action
folder,file
folder-opened,file
gear,settings
git-branch,git
git-commit,git
git-merge,git
git-pull-request,git
globe,general
graph,visualization
heart,general
home,navigation
info,status
issues,general
json,development
key,security
law,general
library,general
lightbulb,general
link,general
link-external,action
list-ordered,content
list-unordered,content
loading,status
location,general
mail,communication
markdown,development
menu,navigation
merge,action
mic,device
mirror,action
more,navigation
move,action
new-file,file
new-folder,file
note,content
notebook,development
organization,user
output,development
package,development
pass,status
person,user
pin,action
play,action
plug,general
preview,action
project,general
question,general
record,action
redo,action
refresh,action
regex,search
remote,connection
remove,action
replace,action
repo,git
report,general
rocket,general
save,action
save-all,action
search,search
server,general
settings,settings
settings-gear,settings
shield,security
source-control,git
sparkle,ai
split-horizontal,layout
split-vertical,layout
star,general
symbol-class,symbol
symbol-method,symbol
tag,general
terminal,application
text-size,text
trash,action
unlock,security
verified,status
watch,action
window,layout
workspace-trusted,status
zoom-in,action
zoom-out,action
add-small,action
agent,ai
alert,status
array,symbol
arrow-small-down,navigation
arrow-small-left,navigation
arrow-small-right,navigation
arrow-small-up,navigation
arrow-swap,action
attach,action
azure,brand
azure-devops,brand
beaker-stop,tool
bell-slash,notification
bell-slash-dot,notification
blank,general
bracket-dot,symbol
bracket-error,symbol
build,development
chat-sparkle,ai
chat-sparkle-error,ai
chat-sparkle-warning,ai
chip,device
circle-outline,shape
circle-small,shape
circle-small-filled,shape
clockface,general
clone,action
cloud-small,storage
code-oss,brand
code-review,git
collection,general
collection-small,general
combine,action
comment-discussion-quote,communication
comment-discussion-sparkle,ai
comment-draft,communication
comment-unresolved,communication
compass,navigation
compass-active,navigation
compass-dot,navigation
copilot-blocked,ai
copilot-error,ai
copilot-in-progress,ai
copilot-large,ai
copilot-not-connected,ai
copilot-snooze,ai
copilot-success,ai
copilot-unavailable,ai
copilot-warning,ai
copilot-warning-large,ai
coverage,debug
cursor,general
debug-all,debug
debug-alt-small,debug
debug-breakpoint-conditional,debug
debug-breakpoint-conditional-unverified,debug
debug-breakpoint-data,debug
debug-breakpoint-data-unverified,debug
debug-breakpoint-function,debug
debug-breakpoint-function-unverified,debug
debug-breakpoint-log,debug
debug-breakpoint-log-unverified,debug
debug-breakpoint-unsupported,debug
debug-connected,debug
debug-continue,debug
debug-continue-small,debug
debug-coverage,debug
debug-disconnect,debug
debug-line-by-line,debug
debug-pause,debug
debug-rerun,debug
debug-restart,debug
debug-restart-frame,debug
debug-reverse-continue,debug
debug-stackframe,debug
debug-stackframe-active,debug
debug-start,debug
debug-step-back,debug
debug-step-into,debug
debug-step-out,debug
debug-step-over,debug
debug-stop,debug
diff-multiple,git
diff-single,git
discard,action
download,action
edit-code,development
edit-session,action
edit-sparkle,ai
editor-layout,layout
empty-window,window
eraser,action
error-small,status
exclude,action
expand-all,action
export,action
extensions-large,application
feedback,communication
file-binary,file
file-media,file
file-pdf,file
file-submodule,git
file-symlink-directory,file
file-symlink-file,file
file-text,file
file-zip,file
filter-filled,action
flag,status
flame,status
fold,action
fold-down,action
fold-up,action
folder-active,file
folder-library,file
forward,navigation
game,general
gift,general
gist,git
gist-fork,git
gist-private,git
gist-secret,git
git-branch-changes,git
git-branch-conflicts,git
git-branch-staged-changes,git
git-compare,git
git-pull-request-closed,git
git-pull-request-create,git
git-pull-request-done,git
git-pull-request-draft,git
git-pull-request-go-to-changes,git
git-pull-request-new-changes,git
git-stash,git
git-stash-apply,git
git-stash-pop,git
github-action,git
github-alt,brand
github-inverted,brand
github-project,git
go-to-editing-session,action
go-to-search,search
grabber,action
graph-left,visualization
graph-line,visualization
graph-scatter,visualization
gripper,action
group-by-ref-type,action
heart-filled,general
history,general
horizontal-rule,text
hubot,ai
inbox,communication
indent,text
index-zero,symbol
insert,action
inspect,debug
issue-draft,git
issue-reopened,git
italic,text
jersey,general
kebab-vertical,navigation
keyboard-tab,text
keyboard-tab-above,text
keyboard-tab-below,text
layers,layout
layers-active,layout
layers-dot,layout
layout,layout
layout-activitybar-left,layout
layout-activitybar-right,layout
layout-centered,layout
layout-menubar,layout
layout-panel,layout
layout-panel-center,layout
layout-panel-dock,layout
layout-panel-justify,layout
layout-panel-left,layout
layout-panel-off,layout
layout-panel-right,layout
layout-sidebar-left,layout
layout-sidebar-left-dock,layout
layout-sidebar-left-off,layout
layout-sidebar-right,layout
layout-sidebar-right-dock,layout
layout-sidebar-right-off,layout
layout-statusbar,layout
lightbulb-autofix,action
lightbulb-empty,general
lightbulb-sparkle,ai
list-filter,action
list-flat,content
list-selection,content
list-tree,content
live-share,communication
lock-small,security
log-in,user
log-out,user
logo-github,brand
magnet,tool
mail-read,communication
mail-reply,communication
map,general
map-filled,general
map-vertical,general
map-vertical-filled,general
mcp,development
megaphone,communication
mention,communication
merge-into,git
mic-filled,device
milestone,general
mortar-board,general
multiple-windows,window
music,general
mute,device
new-collection,general
newline,text
no-newline,text
notebook-template,file
octoface,brand
open-in-product,action
open-preview,action
paintcan,tool
pass-filled,status
percentage,symbol
person-add,user
piano,general
pie-chart,visualization
pinned,action
pinned-dirty,action
play-circle,action
preserve-case,search
primitive-square,shape
pulse,status
python,brand
quote,text
quotes,text
radio-tower,communication
reactions,communication
record-keys,action
record-small,action
references,development
remote-explorer,connection
remove-small,action
rename,action
replace-all,action
repo-clone,git
repo-fetch,git
repo-force-push,git
repo-pinned,git
repo-pull,git
repo-push,git
repo-selected,git
repo-sync,git
request-changes,git
robot,ai
root-folder,file
root-folder-opened,file
rss,communication
ruby,brand
run-above,action
run-all,action
run-all-coverage,debug
run-below,action
run-coverage,debug
run-errors,debug
run-with-deps,action
save-as,action
screen-full,window
screen-normal,window
search-fuzzy,search
search-large,search
search-sparkle,ai
search-stop,search
send,communication
send-to-remote-agent,connection
server-environment,general
server-process,general
session-in-progress,status
share,action
skip,action
smiley,general
snake,general
sort-precedence,action
sparkle-filled,ai
squirrel,general
star-full,general
star-half,general
stop-circle,action
strikethrough,text
surround-with,development
symbol-boolean,symbol
symbol-color,symbol
symbol-constant,symbol
symbol-enum,symbol
symbol-enum-member,symbol
symbol-field,symbol
symbol-file,symbol
symbol-interface,symbol
symbol-key,symbol
symbol-keyword,symbol
symbol-method-arrow,symbol
symbol-misc,symbol
symbol-module,symbol
symbol-numeric,symbol
symbol-operator,symbol
symbol-parameter,symbol
symbol-property,symbol
symbol-reference,symbol
symbol-ruler,symbol
symbol-snippet,symbol
symbol-string,symbol
symbol-structure,symbol
sync-ignored,action
table,content
target,general
tasklist,content
telescope,search
terminal-bash,application
terminal-cmd,application
terminal-debian,application
terminal-git-bash,application
terminal-linux,application
terminal-powershell,application
terminal-tmux,application
terminal-ubuntu,application
thinking,ai
three-bars,navigation
thumbsdown,general
thumbsdown-filled,general
thumbsup,general
thumbsup-filled,general
tools,tool
triangle-down,shape
triangle-left,shape
triangle-right,shape
triangle-up,shape
twitter,brand
type-hierarchy,development
type-hierarchy-sub,development
type-hierarchy-super,development
unarchive,file
unfold,action
ungroup-by-ref-type,action
unmute,device
unverified,status
variable,symbol
variable-group,symbol
verified-filled,status
versions,git
vm,device
vm-active,device
vm-connect,device
vm-outline,device
vm-running,device
vm-small,device
vr,device
vscode,brand
vscode-insiders,brand
wand,tool
whitespace,text
whole-word,search
window-active,window
word-wrap,text
workspace-unknown,status
workspace-untrusted,status
zap,general